TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
03/06/2020,21,Maresme,08121,Mataró,1,Dona,Sospitós,17
03/06/2020,21,Maresme,08032,Caldes d'Estrac,1,Dona,Sospitós,1
03/06/2020,10,Baix Empordà ,17117,Palafrugell,1,Dona,Sospitós,1
03/06/2020,03,Alt Penedès,08305,Vilafranca del Penedès,1,Dona,Sospitós,2
03/06/2020,17,Garraf,08270,Sitges,1,Dona,Sospitós,2
03/06/2020,28,Pla de l'Estany,17190,Serinyà,1,Dona,Sospitós,1
03/06/2020,41,Vallès Oriental,08023,Bigues i Riells,0,Home,Sospitós,1
03/06/2020,40,Vallès Occidental,08187,Sabadell,0,Home,Positiu per Test Ràpid,1
03/06/2020,02,Alt Empordà ,17066,Figueres,1,Dona,Sospitós,1
03/06/2020,33,Segrià ,25211,Sudanell,1,Dona,Sospitós,3
03/06/2020,33,Segrià ,25204,Seròs,0,Home,Sospitós,1
03/06/2020,03,Alt Penedès,08287,Torrelavit,0,Home,Positiu PCR,1
03/06/2020,19,Garrotxa,17019,Besalú,1,Dona,Sospitós,1
03/06/2020,23,Noguera,25231,Torrelameu,1,Dona,Sospitós,1
03/06/2020,19,Garrotxa,17114,Olot,1,Dona,Sospitós,29
03/06/2020,19,Garrotxa,17184,Santa Pau,1,Dona,Sospitós,1
03/06/2020,33,Segrià ,25120,Lleida,0,Home,Positiu PCR,2
03/06/2020,21,Maresme,08075,Dosrius,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08301,Viladecans,0,Home,Sospitós,3
03/06/2020,19,Garrotxa,17207,La Vall d'En Bas,1,Dona,Sospitós,5
03/06/2020,41,Vallès Oriental,08088,La Garriga,0,Home,Sospitós,3
03/06/2020,21,Maresme,08197,Sant Andreu de Llavaneres,0,Home,Sospitós,1
03/06/2020,40,Vallès Occidental,08279,Terrassa,1,Dona,Sospitós,24
03/06/2020,33,Segrià ,25189,Rosselló,0,Home,Sospitós,1
03/06/2020,24,Osona,08285,Torelló,0,Home,Sospitós,2
03/06/2020,41,Vallès Oriental,08086,Les Franqueses del Vallès,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08217,Sant Joan Despí,0,Home,Sospitós,1
03/06/2020,22,Montsià ,43063,La Galera,1,Dona,Sospitós,1
03/06/2020,33,Segrià ,25023,Alpicat,1,Dona,Sospitós,6
03/06/2020,34,Selva,17193,Sils,0,Home,Sospitós,2
03/06/2020,13,Barcelonès,08015,Badalona,0,Home,Sospitós,17
03/06/2020,23,Noguera,25112,Ivars de Noguera,1,Dona,Sospitós,1
03/06/2020,20,Gironès,17089,Llagostera,1,Dona,Positiu per Test Ràpid,1
03/06/2020,11,Baix Llobregat,08114,Martorell,1,Dona,Sospitós,1
03/06/2020,13,Barcelonès,08245,Santa Coloma de Gramenet,1,Dona,Positiu per Test Ràpid,2
03/06/2020,11,Baix Llobregat,08001,Abrera,1,Dona,Positiu per Test Ràpid,1
03/06/2020,41,Vallès Oriental,08902,Vilanova del Vallès,0,Home,Sospitós,1
03/06/2020,41,Vallès Oriental,08088,La Garriga,1,Dona,Sospitós,5
03/06/2020,28,Pla de l'Estany,17015,Banyoles,0,Home,Sospitós,3
03/06/2020,24,Osona,08149,Olost,1,Dona,Sospitós,2
03/06/2020,21,Maresme,08197,Sant Andreu de Llavaneres,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08196,Sant Andreu de la Barca,0,Home,Sospitós,1
03/06/2020,38,Urgell,25217,Tàrrega,1,Dona,Sospitós,1
03/06/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,1,Dona,Positiu per ELISA,1
03/06/2020,11,Baix Llobregat,08076,Esparreguera,0,Home,Sospitós,2
03/06/2020,24,Osona,08298,Vic,0,Home,Positiu PCR,1
03/06/2020,33,Segrià ,25021,Almenar,1,Dona,Sospitós,1
03/06/2020,02,Alt Empordà ,17066,Figueres,0,Home,Sospitós,2
03/06/2020,11,Baix Llobregat,08073,Cornellà de Llobregat,0,Home,Positiu per ELISA,1
03/06/2020,41,Vallès Oriental,08023,Bigues i Riells,1,Dona,Sospitós,4
03/06/2020,11,Baix Llobregat,08073,Cornellà de Llobregat,0,Home,Sospitós,2
03/06/2020,34,Selva,17095,Lloret de Mar,1,Dona,Positiu per Test Ràpid,1
03/06/2020,19,Garrotxa,17185,Sant Joan Les Fonts,1,Dona,Sospitós,6
03/06/2020,40,Vallès Occidental,08125,Montcada i Reixac,0,Home,Sospitós,3
03/06/2020,19,Garrotxa,17208,La Vall de Bianya,0,Home,Sospitós,1
03/06/2020,21,Maresme,08163,Pineda de Mar,1,Dona,Sospitós,1
03/06/2020,13,Barcelonès,08019,Barcelona,0,Home,Sospitós,133
03/06/2020,21,Maresme,08126,Montgat,1,Dona,Sospitós,3
03/06/2020,11,Baix Llobregat,08200,Sant Boi de Llobregat,1,Dona,Sospitós,1
03/06/2020,40,Vallès Occidental,08156,Palau-Solità i Plegamans,0,Home,Sospitós,4
03/06/2020,33,Segrià ,25011,Alcarràs,1,Dona,Sospitós,2
03/06/2020,20,Gironès,17079,Girona,0,Home,Positiu PCR,1
03/06/2020,11,Baix Llobregat,08221,Sant Just Desvern,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08147,Olesa de Montserrat,1,Dona,Sospitós,3
03/06/2020,13,Barcelonès,08194,Sant Adrià del Besòs,1,Dona,Sospitós,2
03/06/2020,07,Bages,08047,Cardona,1,Dona,Sospitós,1
03/06/2020,41,Vallès Oriental,08041,Canovelles,1,Dona,Sospitós,4
03/06/2020,32,Segarra,25110,Guissona,0,Home,Sospitós,3
03/06/2020,31,Ripollès,17177,Sant Pau de Segúries,1,Dona,Positiu PCR,1
03/06/2020,06,Anoia,08302,Vilanova del Camí,0,Home,Sospitós,1
03/06/2020,21,Maresme,08007,Arenys de Munt,1,Dona,Positiu per Test Ràpid,1
03/06/2020,13,Barcelonès,08245,Santa Coloma de Gramenet,0,Home,Sospitós,3
03/06/2020,07,Bages,08113,Manresa,0,Home,Sospitós,11
03/06/2020,41,Vallès Oriental,08033,Caldes de Montbui,0,Home,Sospitós,1
03/06/2020,40,Vallès Occidental,08120,Matadepera,0,Home,Sospitós,1
03/06/2020,17,Garraf,08307,Vilanova i la Geltrú,0,Home,Sospitós,1
03/06/2020,20,Gironès,17020,Bescanó,1,Dona,Positiu PCR,1
03/06/2020,08,Baix Camp,43123,Reus,1,Dona,Epidemiològic,2
03/06/2020,07,Bages,08010,Artés,0,Home,Sospitós,1
03/06/2020,19,Garrotxa,17098,Maià de Montcal,0,Home,Sospitós,1
03/06/2020,20,Gironès,17186,Sarrià de Ter,0,Home,Sospitós,1
03/06/2020,34,Selva,17193,Sils,1,Dona,Sospitós,1
03/06/2020,21,Maresme,08230,Premià de Dalt,0,Home,Sospitós,1
03/06/2020,21,Maresme,08282,Tiana,0,Home,Sospitós,2
03/06/2020,28,Pla de l'Estany,17218,Vilademuls,1,Dona,Sospitós,1
03/06/2020,07,Bages,08262,Sant Vicenç de Castellet,0,Home,Sospitós,1
03/06/2020,33,Segrià ,25254,Vilanova de la Barca,1,Dona,Sospitós,1
03/06/2020,17,Garraf,08074,Cubelles,1,Dona,Sospitós,4
03/06/2020,41,Vallès Oriental,08108,Lliçà de Vall,1,Dona,Sospitós,1
03/06/2020,41,Vallès Oriental,08902,Vilanova del Vallès,1,Dona,Sospitós,2
03/06/2020,07,Bages,08140,Navarcles,1,Dona,Sospitós,2
03/06/2020,21,Maresme,08040,Canet de Mar,1,Dona,Sospitós,1
03/06/2020,14,Berguedà ,08092,Gironella,1,Dona,Sospitós,1
03/06/2020,19,Garrotxa,17165,Sant Jaume de Llierca,1,Dona,Sospitós,2
03/06/2020,40,Vallès Occidental,08205,Sant Cugat del Vallès,0,Home,Sospitós,5
03/06/2020,12,Baix Penedès,43051,Cunit,1,Dona,Sospitós,3
03/06/2020,07,Bages,08192,Santpedor,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08169,El Prat de Llobregat,1,Dona,Positiu per ELISA,1
03/06/2020,24,Osona,08129,Muntanyola,0,Home,Sospitós,1
03/06/2020,33,Segrià ,25120,Lleida,0,Home,Sospitós,27
03/06/2020,41,Vallès Oriental,08108,Lliçà de Vall,0,Home,Sospitós,1
03/06/2020,32,Segarra,25132,Massoteres,0,Home,Sospitós,1
03/06/2020,11,Baix Llobregat,08905,La Palma de Cervelló,0,Home,Sospitós,1
03/06/2020,24,Osona,08247,Santa Eulàlia de Riuprimer,1,Dona,Sospitós,1
03/06/2020,17,Garraf,08270,Sitges,0,Home,Sospitós,1
03/06/2020,07,Bages,08262,Sant Vicenç de Castellet,1,Dona,Sospitós,3
03/06/2020,31,Ripollès,17167,Sant Joan de les Abadesses,0,Home,Sospitós,1
03/06/2020,33,Segrià ,25200,Sarroca de Lleida,1,Dona,Sospitós,1
03/06/2020,41,Vallès Oriental,08202,Sant Celoni,0,Home,Sospitós,1
03/06/2020,14,Berguedà ,08175,Puig-Reig,1,Dona,Sospitós,1
03/06/2020,38,Urgell,25003,Agramunt,1,Dona,Sospitós,1
03/06/2020,21,Maresme,08030,Cabrils,1,Dona,Sospitós,1
