Data defunció,Codi Comarca,Comarca,Codi Sexe,Sexe,Nombre defuncions
14/04/2020,40,Vallès Occidental,1,Dona,11
14/04/2020,41,Vallès Oriental,1,Dona,3
14/04/2020,8,Baix Camp,0,Home,1
14/04/2020,13,Barcelonès,0,Home,48
14/04/2020,28,Pla de l'Estany,1,Dona,1
14/04/2020,36,Tarragonès,1,Dona,5
14/04/2020,41,Vallès Oriental,0,Home,10
14/04/2020,11,Baix Llobregat,1,Dona,19
13/04/2020,42,Moianès,1,Dona,1
13/04/2020,14,Berguedà,1,Dona,2
13/04/2020,21,Maresme,0,Home,8
13/04/2020,12,Baix Penedès,1,Dona,1
13/04/2020,12,Baix Penedès,0,Home,4
13/04/2020,28,Pla de l'Estany,0,Home,1
13/04/2020,42,Moianès,0,Home,2
13/04/2020,34,Selva,0,Home,4
13/04/2020,7,Bages,1,Dona,9
13/04/2020,36,Tarragonès,1,Dona,5
13/04/2020,14,Berguedà,0,Home,1
13/04/2020,3,Alt Penedès,0,Home,4
13/04/2020,13,Barcelonès,1,Dona,49
13/04/2020,36,Tarragonès,0,Home,3
13/04/2020,22,Montsià,0,Home,1
13/04/2020,17,Garraf,0,Home,1
13/04/2020,6,Anoia,0,Home,3
13/04/2020,8,Baix Camp,1,Dona,1
13/04/2020,20,Gironès,0,Home,2
13/04/2020,13,Barcelonès,0,Home,42
13/04/2020,24,Osona,0,Home,1
13/04/2020,17,Garraf,1,Dona,1
13/04/2020,3,Alt Penedès,1,Dona,2
13/04/2020,6,Anoia,1,Dona,3
13/04/2020,10,Baix Empordà,1,Dona,1
13/04/2020,10,Baix Empordà,0,Home,1
