"Fecha","Isla","Provincia","Hospital","Hospitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador","Total","Fuente"
"23/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","11","2","0","13","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"24/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","21","2","0","23","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"25/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","11","2","0","13","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"26/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","10","1","0","11","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"27/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","10","1","0","11","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"28/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","11","1","0","12","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"29/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","9","1","0","10","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"30/06/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","10","1","0","11","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"01/07/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","8","1","0","9","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"02/07/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","7","1","0","8","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
"03/07/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria","7","1","0","8","https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/6c18fb18eae64df2a5ecca8c4bd846c3"
