provincia_iso,fecha,num_casos
AV,2020-04-27,2
B,2020-04-27,99
BA,2020-04-27,8
BI,2020-04-27,25
BU,2020-04-27,11
C,2020-04-27,16
CA,2020-04-27,4
CC,2020-04-27,11
CE,2020-04-27,1
CO,2020-04-27,2
CR,2020-04-27,26
CS,2020-04-27,5
CU,2020-04-27,3
GC,2020-04-27,0
GI,2020-04-27,20
GR,2020-04-27,4
GU,2020-04-27,0
H,2020-04-27,1
HU,2020-04-27,1
J,2020-04-27,5
L,2020-04-27,3
LE,2020-04-27,37
LO,2020-04-27,4
LU,2020-04-27,0
M,2020-04-27,179
MA,2020-04-27,8
ME,2020-04-27,0
MU,2020-04-27,1
NA,2020-04-27,14
O,2020-04-27,7
OR,2020-04-27,5
P,2020-04-27,4
PM,2020-04-27,3
PO,2020-04-27,6
S,2020-04-27,2
SA,2020-04-27,25
SE,2020-04-27,14
SG,2020-04-27,16
SO,2020-04-27,16
SS,2020-04-27,1
T,2020-04-27,8
TE,2020-04-27,1
TF,2020-04-27,3
TO,2020-04-27,6
V,2020-04-27,25
VA,2020-04-27,15
VI,2020-04-27,1
Z,2020-04-27,21
ZA,2020-04-27,6
A,2020-04-28,47
AB,2020-04-28,52
AL,2020-04-28,4
AV,2020-04-28,15
B,2020-04-28,111
BA,2020-04-28,5
BI,2020-04-28,15
BU,2020-04-28,23
C,2020-04-28,13
CA,2020-04-28,10
CC,2020-04-28,17
CE,2020-04-28,2
CO,2020-04-28,10
CR,2020-04-28,28
CS,2020-04-28,10
CU,2020-04-28,5
GC,2020-04-28,1
GI,2020-04-28,24
GR,2020-04-28,38
GU,2020-04-28,1
H,2020-04-28,4
HU,2020-04-28,14
J,2020-04-28,17
L,2020-04-28,7
LE,2020-04-28,38
LO,2020-04-28,10
LU,2020-04-28,3
M,2020-04-28,218
MA,2020-04-28,37
ME,2020-04-28,0
MU,2020-04-28,16
NA,2020-04-28,0
O,2020-04-28,11
OR,2020-04-28,1
P,2020-04-28,7
PM,2020-04-28,5
PO,2020-04-28,3
S,2020-04-28,13
SA,2020-04-28,84
SE,2020-04-28,7
SG,2020-04-28,59
SO,2020-04-28,55
SS,2020-04-28,0
T,2020-04-28,6
TE,2020-04-28,0
TF,2020-04-28,3
TO,2020-04-28,9
V,2020-04-28,66
VA,2020-04-28,27
VI,2020-04-28,2
Z,2020-04-28,26
ZA,2020-04-28,15
A,2020-04-29,51
AB,2020-04-29,24
AL,2020-04-29,7
AV,2020-04-29,11
B,2020-04-29,115
BA,2020-04-29,16
BI,2020-04-29,19
BU,2020-04-29,40
C,2020-04-29,34
CA,2020-04-29,15
CC,2020-04-29,33
CE,2020-04-29,4
CO,2020-04-29,10
CR,2020-04-29,38
CS,2020-04-29,16
CU,2020-04-29,0
GC,2020-04-29,1
GI,2020-04-29,18
GR,2020-04-29,35
GU,2020-04-29,0
H,2020-04-29,10
HU,2020-04-29,3
J,2020-04-29,16
L,2020-04-29,5
LE,2020-04-29,25
LO,2020-04-29,5
LU,2020-04-29,0
M,2020-04-29,210
MA,2020-04-29,40
ME,2020-04-29,1
MU,2020-04-29,7
NA,2020-04-29,1
O,2020-04-29,6
OR,2020-04-29,3
P,2020-04-29,3
PM,2020-04-29,3
PO,2020-04-29,6
S,2020-04-29,20
SA,2020-04-29,55
SE,2020-04-29,29
SG,2020-04-29,44
SO,2020-04-29,22
SS,2020-04-29,0
T,2020-04-29,7
TE,2020-04-29,1
TF,2020-04-29,3
TO,2020-04-29,6
V,2020-04-29,68
VA,2020-04-29,25
VI,2020-04-29,0
Z,2020-04-29,18
ZA,2020-04-29,18
A,2020-04-30,66
AB,2020-04-30,44
AL,2020-04-30,8
AV,2020-04-30,5
B,2020-04-30,161
BA,2020-04-30,12
BI,2020-04-30,5
BU,2020-04-30,28
C,2020-04-30,18
CA,2020-04-30,11
CC,2020-04-30,55
CE,2020-04-30,0
CO,2020-04-30,17
CR,2020-04-30,27
CS,2020-04-30,4
CU,2020-04-30,0
GC,2020-04-30,3
GI,2020-04-30,13
GR,2020-04-30,19
GU,2020-04-30,0
H,2020-04-30,12
HU,2020-04-30,4
J,2020-04-30,19
L,2020-04-30,4
LE,2020-04-30,25
LO,2020-04-30,2
LU,2020-04-30,1
M,2020-04-30,172
MA,2020-04-30,19
ME,2020-04-30,1
MU,2020-04-30,22
NA,2020-04-30,0
O,2020-04-30,10
OR,2020-04-30,2
P,2020-04-30,12
PM,2020-04-30,5
PO,2020-04-30,4
S,2020-04-30,16
SA,2020-04-30,42
SE,2020-04-30,16
SG,2020-04-30,20
SO,2020-04-30,48
SS,2020-04-30,0
T,2020-04-30,6
TE,2020-04-30,1
TF,2020-04-30,1
TO,2020-04-30,5
V,2020-04-30,55
VA,2020-04-30,48
VI,2020-04-30,0
Z,2020-04-30,25
ZA,2020-04-30,7
A,2020-05-01,34
AB,2020-05-01,7
AL,2020-05-01,8
AV,2020-05-01,4
B,2020-05-01,121
BA,2020-05-01,16
BI,2020-05-01,4
BU,2020-05-01,28
C,2020-05-01,4
CA,2020-05-01,6
CC,2020-05-01,64
CE,2020-05-01,1
CO,2020-05-01,12
CR,2020-05-01,8
CS,2020-05-01,8
CU,2020-05-01,1
GC,2020-05-01,1
GI,2020-05-01,24
GR,2020-05-01,10
GU,2020-05-01,1
H,2020-05-01,2
HU,2020-05-01,3
J,2020-05-01,14
L,2020-05-01,6
LE,2020-05-01,28
LO,2020-05-01,1
LU,2020-05-01,1
M,2020-05-01,182
MA,2020-05-01,26
ME,2020-05-01,0
MU,2020-05-01,8
NA,2020-05-01,0
O,2020-05-01,1
OR,2020-05-01,7
P,2020-05-01,5
PM,2020-05-01,9
PO,2020-05-01,5
S,2020-05-01,32
SA,2020-05-01,140
SE,2020-05-01,16
SG,2020-05-01,53
SO,2020-05-01,22
SS,2020-05-01,0
T,2020-05-01,6
TE,2020-05-01,0
TF,2020-05-01,8
TO,2020-05-01,3
V,2020-05-01,42
VA,2020-05-01,31
VI,2020-05-01,0
Z,2020-05-01,10
ZA,2020-05-01,18
A,2020-05-02,25
AB,2020-05-02,8
AL,2020-05-02,4
AV,2020-05-02,9
B,2020-05-02,122
BA,2020-05-02,14
BI,2020-05-02,2
BU,2020-05-02,20
C,2020-05-02,15
CA,2020-05-02,8
CC,2020-05-02,35
CE,2020-05-02,2
CO,2020-05-02,11
CR,2020-05-02,4
CS,2020-05-02,4
CU,2020-05-02,0
GC,2020-05-02,2
GI,2020-05-02,21
GR,2020-05-02,10
GU,2020-05-02,0
H,2020-05-02,1
HU,2020-05-02,5
J,2020-05-02,11
L,2020-05-02,9
LE,2020-05-02,28
LO,2020-05-02,2
LU,2020-05-02,2
M,2020-05-02,161
MA,2020-05-02,23
ME,2020-05-02,0
MU,2020-05-02,17
NA,2020-05-02,0
O,2020-05-02,3
OR,2020-05-02,2
P,2020-05-02,12
PM,2020-05-02,3
PO,2020-05-02,4
S,2020-05-02,6
SA,2020-05-02,134
SE,2020-05-02,13
SG,2020-05-02,39
SO,2020-05-02,33
SS,2020-05-02,0
T,2020-05-02,3
TE,2020-05-02,0
TF,2020-05-02,2
TO,2020-05-02,1
V,2020-05-02,32
VA,2020-05-02,43
VI,2020-05-02,1
Z,2020-05-02,15
ZA,2020-05-02,21
A,2020-05-03,22
AB,2020-05-03,21
AL,2020-05-03,3
AV,2020-05-03,7
B,2020-05-03,116
BA,2020-05-03,1
BI,2020-05-03,4
BU,2020-05-03,14
C,2020-05-03,6
CA,2020-05-03,1
CC,2020-05-03,10
CE,2020-05-03,0
CO,2020-05-03,6
CR,2020-05-03,22
CS,2020-05-03,4
CU,2020-05-03,1
GC,2020-05-03,0
GI,2020-05-03,15
GR,2020-05-03,4
GU,2020-05-03,0
H,2020-05-03,0
HU,2020-05-03,2
J,2020-05-03,1
L,2020-05-03,2
LE,2020-05-03,10
LO,2020-05-03,2
LU,2020-05-03,0
M,2020-05-03,71
MA,2020-05-03,8
ME,2020-05-03,0
