"CCAA","cod_ine","value","date","poblacion","per_cienmil","daily_deaths","daily_deaths_inc","daily_deaths_avg6"
"Asturias",3,27,2020-03-26,1022800,2.64,2,8,4.2
"Baleares",4,17,2020-03-26,1149460,1.48,4,30.8,2.5
"C. Valenciana",10,167,2020-03-26,5003769,3.34,24,16.8,22.3
"Canarias",5,24,2020-03-26,2153389,1.11,3,14.3,3.3
"Cantabria",6,17,2020-03-26,581078,2.93,3,21.4,2.7
"Castilla y León",7,206,2020-03-26,2399548,8.58,41,24.8,27.2
"Castilla-La Mancha",8,316,2020-03-26,2032863,15.54,53,20.2,45.7
"Cataluña",9,672,2020-03-26,7675217,8.76,156,30.2,98.3
"Ceuta",18,0,2020-03-26,84777,0,0,NA,0
"Extremadura",11,58,2020-03-26,1067710,5.43,19,48.7,8
"Galicia",12,32,2020-03-26,2699499,1.19,5,18.5,4.5
"La Rioja",17,43,2020-03-26,316798,13.57,6,16.2,6
"Madrid",13,2090,2020-03-26,6663394,31.37,265,14.5,243.7
"Melilla",19,1,2020-03-26,86487,1.16,1,Inf,0.2
"Murcia",14,8,2020-03-26,1493898,0.54,3,60,1.3
"Navarra",15,49,2020-03-26,654214,7.49,16,48.5,7.3
"País Vasco",16,180,2020-03-26,2207776,8.15,25,16.1,18.2
"Total",0,4089,2020-03-26,NA,NA,655,19.1,514.5
"Andalucía",1,144,2020-03-27,8414240,1.71,10,7.5,17.3
"Aragón",2,58,2020-03-27,1319291,4.4,10,20.8,6
"Asturias",3,29,2020-03-27,1022800,2.84,2,7.4,4
"Baleares",4,22,2020-03-27,1149460,1.91,5,29.4,3
"C. Valenciana",10,198,2020-03-27,5003769,3.96,31,18.6,24.7
"Canarias",5,27,2020-03-27,2153389,1.25,3,12.5,3.3
"Cantabria",6,21,2020-03-27,581078,3.61,4,23.5,3.2
"Castilla y León",7,252,2020-03-27,2399548,10.5,46,22.3,32.8
"Castilla-La Mancha",8,367,2020-03-27,2032863,18.05,51,16.1,47.2
"Cataluña",9,880,2020-03-27,7675217,11.47,208,31,126.3
"Ceuta",18,0,2020-03-27,84777,0,0,NA,0
"Extremadura",11,69,2020-03-27,1067710,6.46,11,19,9.5
"Galicia",12,43,2020-03-27,2699499,1.59,11,34.4,5.7
"La Rioja",17,55,2020-03-27,316798,17.36,12,27.9,6.7
"Madrid",13,2412,2020-03-27,6663394,36.2,322,15.4,268
"Melilla",19,1,2020-03-27,86487,1.16,0,0,0.2
"Murcia",14,15,2020-03-27,1493898,1,7,87.5,2.3
"Navarra",15,58,2020-03-27,654214,8.87,9,18.4,8.2
"País Vasco",16,207,2020-03-27,2207776,9.38,27,15,20.3
"Total",0,4858,2020-03-27,NA,NA,769,18.8,588.7
"Andalucía",1,175,2020-03-28,8414240,2.08,31,21.5,21.3
"Aragón",2,58,2020-03-28,1319291,4.4,0,0,5.7
"Asturias",3,33,2020-03-28,1022800,3.23,4,13.8,4.2
"Baleares",4,26,2020-03-28,1149460,2.26,4,18.2,3.7
"C. Valenciana",10,234,2020-03-28,5003769,4.68,36,18.2,27.5
"Canarias",5,36,2020-03-28,2153389,1.67,9,33.3,4.5
"Cantabria",6,22,2020-03-28,581078,3.79,1,4.8,2.8
"Castilla y León",7,321,2020-03-28,2399548,13.38,69,27.4,41.2
"Castilla-La Mancha",8,448,2020-03-28,2032863,22.04,81,22.1,56
"Cataluña",9,1070,2020-03-28,7675217,13.94,190,21.6,146.5
"Ceuta",18,1,2020-03-28,84777,1.18,1,Inf,0.2
"Extremadura",11,88,2020-03-28,1067710,8.24,19,27.5,12.3
"Galicia",12,47,2020-03-28,2699499,1.74,4,9.3,5.8
"La Rioja",17,65,2020-03-28,316798,20.52,10,18.2,7.8
"Madrid",13,2757,2020-03-28,6663394,41.38,345,14.3,289.3
"Melilla",19,1,2020-03-28,86487,1.16,0,0,0.2
"Murcia",14,17,2020-03-28,1493898,1.14,2,13.3,2.7
"Navarra",15,70,2020-03-28,654214,10.7,12,20.7,9.3
"País Vasco",16,221,2020-03-28,2207776,10.01,14,6.8,20.7
"Total",0,5690,2020-03-28,NA,NA,832,17.1,661.7
"Andalucía",1,207,2020-03-29,8414240,2.46,32,18.3,24.8
"Aragón",2,93,2020-03-29,1319291,7.05,35,60.3,10.2
"Asturias",3,41,2020-03-29,1022800,4.01,8,24.2,4.8
"Baleares",4,29,2020-03-29,1149460,2.52,3,11.5,3.2
"C. Valenciana",10,267,2020-03-29,5003769,5.34,33,14.1,28.8
"Canarias",5,39,2020-03-29,2153389,1.81,3,8.3,4.7
"Cantabria",6,26,2020-03-29,581078,4.47,4,18.2,3.3
"Castilla y León",7,380,2020-03-29,2399548,15.84,59,18.4,46.3
"Castilla-La Mancha",8,539,2020-03-29,2032863,26.51,91,20.3,65.7
"Cataluña",9,1226,2020-03-29,7675217,15.97,156,14.6,163.5
"Ceuta",18,1,2020-03-29,84777,1.18,0,0,0.2
"Extremadura",11,100,2020-03-29,1067710,9.37,12,13.6,13.7
"Galicia",12,60,2020-03-29,2699499,2.22,13,27.7,7
"La Rioja",17,68,2020-03-29,316798,21.46,3,4.6,7.7
"Madrid",13,3082,2020-03-29,6663394,46.25,325,11.8,303.2
"Melilla",19,1,2020-03-29,86487,1.16,0,0,0.2
"Murcia",14,20,2020-03-29,1493898,1.34,3,17.6,3
"Navarra",15,84,2020-03-29,654214,12.84,14,20,10
"País Vasco",16,265,2020-03-29,2207776,12,44,19.9,24.2
"Total",0,6528,2020-03-29,NA,NA,838,14.7,724.3
"Andalucía",1,236,2020-03-30,8414240,2.8,29,14,24.8
"Aragón",2,106,2020-03-30,1319291,8.03,13,14,11.5
"Asturias",3,49,2020-03-30,1022800,4.79,8,19.5,4.5
"Baleares",4,37,2020-03-30,1149460,3.22,8,27.6,4.5
"C. Valenciana",10,310,2020-03-30,5003769,6.2,43,16.1,32.5
"Canarias",5,40,2020-03-30,2153389,1.86,1,2.6,4
"Cantabria",6,27,2020-03-30,581078,4.65,1,3.8,3
"Castilla y León",7,442,2020-03-30,2399548,18.42,62,16.3,53
"Castilla-La Mancha",8,622,2020-03-30,2032863,30.6,83,15.4,67.7
"Cataluña",9,1410,2020-03-30,7675217,18.37,184,15,188
"Ceuta",18,1,2020-03-30,84777,1.18,0,0,0.2
"Extremadura",11,106,2020-03-30,1067710,9.93,6,6,13.3
"Galicia",12,66,2020-03-30,2699499,2.44,6,10,7.7
"La Rioja",17,71,2020-03-30,316798,22.41,3,4.4,6.8
"Madrid",13,3392,2020-03-30,6663394,50.9,310,10.1,309.5
"Melilla",19,1,2020-03-30,86487,1.16,0,0,0.2
"Murcia",14,25,2020-03-30,1493898,1.67,5,25,3.7
"Navarra",15,102,2020-03-30,654214,15.59,18,21.4,11.8
"País Vasco",16,297,2020-03-30,2207776,13.45,32,12.1,27.3
"Total",0,7340,2020-03-30,NA,NA,812,12.4,774
"Andalucía",1,248,2020-03-31,8414240,2.95,12,5.1,22.5
"Aragón",2,138,2020-03-31,1319291,10.46,32,30.2,16.3
"Asturias",3,55,2020-03-31,1022800,5.38,6,12.2,5
"Baleares",4,42,2020-03-31,1149460,3.65,5,13.5,4.8
"C. Valenciana",10,339,2020-03-31,5003769,6.77,29,9.4,32.7
"Canarias",5,55,2020-03-31,2153389,2.55,15,37.5,5.7
"Cantabria",6,37,2020-03-31,581078,6.37,10,37,3.8
"Castilla y León",7,516,2020-03-31,2399548,21.5,74,16.7,58.5
"Castilla-La Mancha",8,708,2020-03-31,2032863,34.83,86,13.8,74.2
"Cataluña",9,1672,2020-03-31,7675217,21.78,262,18.6,192.7
"Ceuta",18,1,2020-03-31,84777,1.18,0,0,0.2
"Extremadura",11,133,2020-03-31,1067710,12.46,27,25.5,15.7
"Galicia",12,84,2020-03-31,2699499,3.11,18,27.3,9.5
"La Rioja",17,85,2020-03-31,316798,26.83,14,19.7,8
"Madrid",13,3603,2020-03-31,6663394,54.07,211,6.2,296.3
"Melilla",19,1,2020-03-31,86487,1.16,0,0,0.2
"Murcia",14,34,2020-03-31,1493898,2.28,9,36,4.8
"Navarra",15,113,2020-03-31,654214,17.27,11,10.8,13.3
"País Vasco",16,325,2020-03-31,2207776,14.72,28,9.4,28.3
"Total",0,8189,2020-03-31,NA,NA,849,11.6,792.5
"Andalucía",1,308,2020-04-01,8414240,3.66,60,24.2,29
"Aragón",2,169,2020-04-01,1319291,12.81,31,22.5,20.2
"Asturias",3,63,2020-04-01,1022800,6.16,8,14.5,6
"Baleares",4,46,2020-04-01,1149460,4,4,9.5,4.8
"C. Valenciana",10,395,2020-04-01,5003769,7.89,56,16.5,38
"Canarias",5,62,2020-04-01,2153389,2.88,7,12.7,6.3
"Cantabria",6,54,2020-04-01,581078,9.29,17,45.9,6.2
"Castilla y León",7,585,2020-04-01,2399548,24.38,69,13.4,63.2
"Castilla-La Mancha",8,774,2020-04-01,2032863,38.07,66,9.3,76.3
"Cataluña",9,1849,2020-04-01,7675217,24.09,177,10.6,196.2
"Ceuta",18,1,2020-04-01,84777,1.18,0,0,0.2
"Extremadura",11,152,2020-04-01,1067710,14.24,19,14.3,15.7
"Galicia",12,103,2020-04-01,2699499,3.82,19,22.6,11.8
"La Rioja",17,90,2020-04-01,316798,28.41,5,5.9,7.8
"Madrid",13,3865,2020-04-01,6663394,58,262,7.3,295.8
"Melilla",19,1,2020-04-01,86487,1.16,0,0,0
"Murcia",14,37,2020-04-01,1493898,2.48,3,8.8,4.8
"Navarra",15,130,2020-04-01,654214,19.87,17,15,13.5
"País Vasco",16,369,2020-04-01,2207776,16.71,44,13.5,31.5
"Total",0,9053,2020-04-01,NA,NA,864,10.6,827.3
"Andalucía",1,343,2020-04-02,8414240,4.08,35,11.4,33.2
"Aragón",2,200,2020-04-02,1319291,15.16,31,18.3,23.7
"Asturias",3,69,2020-04-02,1022800,6.75,6,9.5,6.7
"Baleares",4,58,2020-04-02,1149460,5.05,12,26.1,6
"C. Valenciana",10,443,2020-04-02,5003769,8.85,48,12.2,40.8
"Canarias",5,68,2020-04-02,2153389,3.16,6,9.7,6.8
"Cantabria",6,60,2020-04-02,581078,10.33,6,11.1,6.5
"Castilla y León",7,641,2020-04-02,2399548,26.71,56,9.6,64.8
"Castilla-La Mancha",8,854,2020-04-02,2032863,42.01,80,10.3,81.2
"Cataluña",9,2093,2020-04-02,7675217,27.27,244,13.2,202.2
"Ceuta",18,1,2020-04-02,84777,1.18,0,0,0.2
"Extremadura",11,181,2020-04-02,1067710,16.95,29,19.1,18.7
"Galicia",12,120,2020-04-02,2699499,4.45,17,16.5,12.8
"La Rioja",17,101,2020-04-02,316798,31.88,11,12.2,7.7
"Madrid",13,4175,2020-04-02,6663394,62.66,310,8,293.8
"Melilla",19,1,2020-04-02,86487,1.16,0,0,0
"Murcia",14,42,2020-04-02,1493898,2.81,5,13.5,4.5
"Navarra",15,141,2020-04-02,654214,21.55,11,8.5,13.8
"País Vasco",16,412,2020-04-02,2207776,18.66,43,11.7,34.2
"Total",0,10003,2020-04-02,NA,NA,950,10.5,857.5
"Andalucía",1,376,2020-04-03,8414240,4.47,33,9.6,33.5
"Aragón",2,224,2020-04-03,1319291,16.98,24,12,27.7
"Asturias",3,70,2020-04-03,1022800,6.84,1,1.4,6.2
"Baleares",4,69,2020-04-03,1149460,6,11,19,7.2
"C. Valenciana",10,511,2020-04-03,5003769,10.21,68,15.3,46.2
"Canarias",5,73,2020-04-03,2153389,3.39,5,7.4,6.2
"Cantabria",6,64,2020-04-03,581078,11.01,4,6.7,7
"Castilla y León",7,723,2020-04-03,2399548,30.13,82,12.8,67
"Castilla-La Mancha",8,916,2020-04-03,2032863,45.06,62,7.3,78
"Cataluña",9,2335,2020-04-03,7675217,30.42,242,11.6,210.8
"Ceuta",18,1,2020-04-03,84777,1.18,0,0,0
"Extremadura",11,200,2020-04-03,1067710,18.73,19,10.5,18.7
"Galicia",12,138,2020-04-03,2699499,5.11,18,15,15.2
"La Rioja",17,109,2020-04-03,316798,34.41,8,7.9,7.3
"Madrid",13,4483,2020-04-03,6663394,67.28,308,7.4,287.7
"Melilla",19,2,2020-04-03,86487,2.31,1,100,0.2
"Murcia",14,46,2020-04-03,1493898,3.08,4,9.5,4.8
"Navarra",15,151,2020-04-03,654214,23.08,10,7.1,13.5
"País Vasco",16,444,2020-04-03,2207776,20.11,32,7.8,37.2
"Total",0,10935,2020-04-03,NA,NA,932,9.3,874.2
"Andalucía",1,426,2020-04-04,8414240,5.06,50,13.3,36.5
"Aragón",2,251,2020-04-04,1319291,19.03,27,12.1,26.3
"Asturias",3,76,2020-04-04,1022800,7.43,6,8.6,5.8
"Baleares",4,71,2020-04-04,1149460,6.18,2,2.9,7
"C. Valenciana",10,571,2020-04-04,5003769,11.41,60,11.7,50.7
"Canarias",5,78,2020-04-04,2153389,3.62,5,6.8,6.5
"Cantabria",6,68,2020-04-04,581078,11.7,4,6.2,7
"Castilla y León",7,786,2020-04-04,2399548,32.76,63,8.7,67.7
"Castilla-La Mancha",8,989,2020-04-04,2032863,48.65,73,8,75
"Cataluña",9,2508,2020-04-04,7675217,32.68,173,7.4,213.7
"Ceuta",18,1,2020-04-04,84777,1.18,0,0,0
"Extremadura",11,208,2020-04-04,1067710,19.48,8,4,18
"Galicia",12,159,2020-04-04,2699499,5.89,21,15.2,16.5
"La Rioja",17,128,2020-04-04,316798,40.4,19,17.4,10
"Madrid",13,4723,2020-04-04,6663394,70.88,240,5.4,273.5
"Melilla",19,2,2020-04-04,86487,2.31,0,0,0.2
"Murcia",14,51,2020-04-04,1493898,3.41,5,10.9,5.2
"Navarra",15,171,2020-04-04,654214,26.14,20,13.2,14.5
"País Vasco",16,477,2020-04-04,2207776,21.61,33,7.4,35.3
"Total",0,11744,2020-04-04,NA,NA,809,7.4,869.3
"Andalucía",1,470,2020-04-05,8414240,5.59,44,10.3,39
"Aragón",2,270,2020-04-05,1319291,20.47,19,7.6,27.3
"Asturias",3,80,2020-04-05,1022800,7.82,4,5.3,5.2
"Baleares",4,75,2020-04-05,1149460,6.52,4,5.6,6.3
"C. Valenciana",10,613,2020-04-05,5003769,12.25,42,7.4,50.5
"Canarias",5,80,2020-04-05,2153389,3.72,2,2.6,6.7
"Cantabria",6,68,2020-04-05,581078,11.7,0,0,6.8
"Castilla y León",7,847,2020-04-05,2399548,35.3,61,7.8,67.5
"Castilla-La Mancha",8,1055,2020-04-05,2032863,51.9,66,6.7,72.2
"Cataluña",9,2637,2020-04-05,7675217,34.36,129,5.1,204.5
"Ceuta",18,2,2020-04-05,84777,2.36,1,100,0.2
"Extremadura",11,218,2020-04-05,1067710,20.42,10,4.8,18.7
"Galicia",12,174,2020-04-05,2699499,6.45,15,9.4,18
"La Rioja",17,134,2020-04-05,316798,42.3,6,4.7,10.5
"Madrid",13,4941,2020-04-05,6663394,74.15,218,4.6,258.2
"Melilla",19,2,2020-04-05,86487,2.31,0,0,0.2
"Murcia",14,59,2020-04-05,1493898,3.95,8,15.7,5.7
"Navarra",15,178,2020-04-05,654214,27.21,7,4.1,12.7
"País Vasco",16,515,2020-04-05,2207776,23.33,38,8,36.3
"Total",0,12418,2020-04-05,NA,NA,674,5.7,846.3
"Andalucía",1,491,2020-04-06,8414240,5.84,21,4.5,40.5
"Aragón",2,284,2020-04-06,1319291,21.53,14,5.2,24.3
"Asturias",3,86,2020-04-06,1022800,8.41,6,7.5,5.2
"Baleares",4,81,2020-04-06,1149460,7.05,6,8,6.5
"C. Valenciana",10,637,2020-04-06,5003769,12.73,24,3.9,49.7
"Canarias",5,85,2020-04-06,2153389,3.95,5,6.2,5
"Cantabria",6,77,2020-04-06,581078,13.25,9,13.2,6.7
"Castilla y León",7,919,2020-04-06,2399548,38.3,72,8.5,67.2
