"cod_ine","CCAA","value","date","poblacion","per_cienmil"
17,"La Rioja",747,2020-03-23,316798,235.8
17,"La Rioja",355,2020-03-17,316798,112.06
17,"La Rioja",179,2020-03-11,316798,56.5
17,"La Rioja",11,2020-03-05,316798,3.47
17,"La Rioja",0,2020-02-28,316798,0
17,"La Rioja",497,2020-03-20,316798,156.88
17,"La Rioja",654,2020-03-22,316798,206.44
17,"La Rioja",802,2020-03-24,316798,253.16
17,"La Rioja",419,2020-03-18,316798,132.26
18,"Ceuta",0,2020-03-06,84777,0
18,"Ceuta",0,2020-02-29,84777,0
18,"Ceuta",0,2020-03-02,84777,0
18,"Ceuta",0,2020-03-09,84777,0
18,"Ceuta",0,2020-03-08,84777,0
18,"Ceuta",0,2020-03-10,84777,0
18,"Ceuta",0,2020-03-04,84777,0
18,"Ceuta",1,2020-03-19,84777,1.18
18,"Ceuta",0,2020-03-03,84777,0
18,"Ceuta",0,2020-03-05,84777,0
18,"Ceuta",0,2020-03-07,84777,0
18,"Ceuta",5,2020-03-22,84777,5.9
18,"Ceuta",0,2020-02-27,84777,0
18,"Ceuta",0,2020-03-13,84777,0
18,"Ceuta",1,2020-03-15,84777,1.18
18,"Ceuta",1,2020-03-17,84777,1.18
18,"Ceuta",0,2020-03-01,84777,0
18,"Ceuta",5,2020-03-21,84777,5.9
18,"Ceuta",6,2020-03-23,84777,7.08
18,"Ceuta",0,2020-02-28,84777,0
18,"Ceuta",0,2020-03-12,84777,0
18,"Ceuta",1,2020-03-16,84777,1.18
18,"Ceuta",1,2020-03-18,84777,1.18
18,"Ceuta",5,2020-03-20,84777,5.9
18,"Ceuta",0,2020-03-11,84777,0
18,"Ceuta",6,2020-03-24,84777,7.08
18,"Ceuta",0,2020-03-14,84777,0
19,"Melilla",0,2020-02-29,86487,0
19,"Melilla",0,2020-02-28,86487,0
19,"Melilla",0,2020-03-09,86487,0
19,"Melilla",0,2020-02-27,86487,0
19,"Melilla",0,2020-03-08,86487,0
19,"Melilla",0,2020-03-10,86487,0
19,"Melilla",0,2020-03-12,86487,0
19,"Melilla",0,2020-03-06,86487,0
19,"Melilla",0,2020-03-03,86487,0
19,"Melilla",0,2020-03-05,86487,0
19,"Melilla",0,2020-03-07,86487,0
19,"Melilla",25,2020-03-22,86487,28.91
19,"Melilla",0,2020-03-11,86487,0
19,"Melilla",2,2020-03-13,86487,2.31
19,"Melilla",0,2020-03-02,86487,0
19,"Melilla",0,2020-03-04,86487,0
19,"Melilla",23,2020-03-19,86487,26.59
19,"Melilla",25,2020-03-21,86487,28.91
19,"Melilla",28,2020-03-23,86487,32.37
19,"Melilla",24,2020-03-20,86487,27.75
19,"Melilla",0,2020-03-01,86487,0
19,"Melilla",8,2020-03-16,86487,9.25
19,"Melilla",20,2020-03-18,86487,23.12
19,"Melilla",8,2020-03-15,86487,9.25
19,"Melilla",17,2020-03-17,86487,19.66
19,"Melilla",28,2020-03-24,86487,32.37
19,"Melilla",3,2020-03-14,86487,3.47
